2023-11-28 11:51:48.165 | INFO     | __main__:send_messages:23 - Message sent to user 313760888 at 2023-11-28 11:51:48.165868: Скоро вернусь с новым материалом!
2023-11-28 11:51:57.077 | INFO     | __main__:send_messages:23 - Message sent to user 313760888 at 2023-11-28 11:51:57.077397: Подготовила для вас материал
2023-11-28 11:52:03.829 | INFO     | __main__:send_messages:23 - Message sent to user 313760888 at 2023-11-28 11:52:03.829460: Скоро вернусь с новым материалом!
2023-11-28 12:06:42.557 | INFO     | __main__:send_messages:25 - Message sent to user 313760888 at 2023-11-28 12:06:42.557471: Добрый день!
2023-11-28 12:06:43.648 | INFO     | __main__:send_initial_photo:55 - Initial photo sent to user 313760888
2023-11-28 12:06:43.813 | INFO     | __main__:send_messages:25 - Message sent to user 313760888 at 2023-11-28 12:06:43.813821: Скоро вернусь с новым материалом!
2023-11-28 12:07:02.813 | INFO     | __main__:send_messages:25 - Message sent to user 313760888 at 2023-11-28 12:07:02.813227: Подготовила для вас материал
2023-11-28 12:07:09.542 | INFO     | __main__:send_messages:25 - Message sent to user 313760888 at 2023-11-28 12:07:09.542975: Скоро вернусь с новым материалом!
2023-11-28 12:08:54.566 | INFO     | __main__:send_messages:25 - Message sent to user 313760888 at 2023-11-28 12:08:54.566092: Добрый день!
2023-11-28 12:08:55.832 | INFO     | __main__:send_initial_photo:53 - Initial photo sent to user 313760888
2023-11-28 12:08:56.037 | INFO     | __main__:send_messages:25 - Message sent to user 313760888 at 2023-11-28 12:08:56.037690: Скоро вернусь с новым материалом!
2023-11-28 12:09:06.439 | INFO     | __main__:send_messages:25 - Message sent to user 313760888 at 2023-11-28 12:09:06.439757: Скоро вернусь с новым материалом!
2023-11-28 12:09:09.834 | INFO     | __main__:send_messages:25 - Message sent to user 313760888 at 2023-11-28 12:09:09.834394: Подготовила для вас материал
2023-11-28 12:09:16.784 | INFO     | __main__:send_messages:25 - Message sent to user 313760888 at 2023-11-28 12:09:16.784660: Скоро вернусь с новым материалом!
2023-11-28 12:09:27.197 | INFO     | __main__:send_messages:25 - Message sent to user 313760888 at 2023-11-28 12:09:27.197391: Скоро вернусь с новым материалом!
2023-11-28 12:09:37.558 | INFO     | __main__:send_messages:25 - Message sent to user 313760888 at 2023-11-28 12:09:37.558324: Скоро вернусь с новым материалом!
